MWE,Regex,Quantity
Abrir o (seu) coração,(abrir|abro|abres|abre|abrimos|abris|abrem|abri|abriste|abriu|abrimos|abristes|abriram|abriria|abririas|abriria|abriríamos|abriríeis|abririam|abria|abrias|abria|abríamos|abríeis|abriam|abri|abriste|abriu|abrimos|abristes|abriram|abrirei|abrirás|abrirá|abriremos|abrireis|abrirão|abrindo|aberto|abre|abramos|abri|abram) o (seu) coração,24
Abrir o berreiro,(abrir|abro|abres|abre|abrimos|abris|abrem|abri|abriste|abriu|abrimos|abristes|abriram|abriria|abririas|abriria|abriríamos|abriríeis|abririam|abria|abrias|abria|abríamos|abríeis|abriam|abri|abriste|abriu|abrimos|abristes|abriram|abrirei|abrirás|abrirá|abriremos|abrireis|abrirão|abrindo|aberto|abre|abramos|abri|abram) o berreiro,10
Abrir o caminho,(abrir|abro|abres|abre|abrimos|abris|abrem|abri|abriste|abriu|abrimos|abristes|abriram|abriria|abririas|abriria|abriríamos|abriríeis|abririam|abria|abrias|abria|abríamos|abríeis|abriam|abri|abriste|abriu|abrimos|abristes|abriram|abrirei|abrirás|abrirá|abriremos|abrireis|abrirão|abrindo|aberto|abre|abramos|abri|abram) o caminho,824
Abrir o jogo,(abrir|abro|abres|abre|abrimos|abris|abrem|abri|abriste|abriu|abrimos|abristes|abriram|abriria|abririas|abriria|abriríamos|abriríeis|abririam|abria|abrias|abria|abríamos|abríeis|abriam|abri|abriste|abriu|abrimos|abristes|abriram|abrirei|abrirás|abrirá|abriremos|abrireis|abrirão|abrindo|aberto|abre|abramos|abri|abram) o jogo,152
Abrir os braços,(abrir|abro|abres|abre|abrimos|abris|abrem|abri|abriste|abriu|abrimos|abristes|abriram|abriria|abririas|abriria|abriríamos|abriríeis|abririam|abria|abrias|abria|abríamos|abríeis|abriam|abri|abriste|abriu|abrimos|abristes|abriram|abrirei|abrirás|abrirá|abriremos|abrireis|abrirão|abrindo|aberto|abre|abramos|abri|abram) os braços,102
Abrir os olhos,(abrir|abro|abres|abre|abrimos|abris|abrem|abri|abriste|abriu|abrimos|abristes|abriram|abriria|abririas|abriria|abriríamos|abriríeis|abririam|abria|abrias|abria|abríamos|abríeis|abriam|abri|abriste|abriu|abrimos|abristes|abriram|abrirei|abrirás|abrirá|abriremos|abrireis|abrirão|abrindo|aberto|abre|abramos|abri|abram) os olhos,1049
Abrir os horizontes,(abrir|abro|abres|abre|abrimos|abris|abrem|abri|abriste|abriu|abrimos|abristes|abriram|abriria|abririas|abriria|abriríamos|abriríeis|abririam|abria|abrias|abria|abríamos|abríeis|abriam|abri|abriste|abriu|abrimos|abristes|abriram|abrirei|abrirás|abrirá|abriremos|abrireis|abrirão|abrindo|aberto|abre|abramos|abri|abram) os horizontes,19
Abrir os ouvidos,(abrir|abro|abres|abre|abrimos|abris|abrem|abri|abriste|abriu|abrimos|abristes|abriram|abriria|abririas|abriria|abriríamos|abriríeis|abririam|abria|abrias|abria|abríamos|abríeis|abriam|abri|abriste|abriu|abrimos|abristes|abriram|abrirei|abrirás|abrirá|abriremos|abrireis|abrirão|abrindo|aberto|abre|abramos|abri|abram) os ouvidos,6
Abrir passagem,(abrir|abro|abres|abre|abrimos|abris|abrem|abri|abriste|abriu|abrimos|abristes|abriram|abriria|abririas|abriria|abriríamos|abriríeis|abririam|abria|abrias|abria|abríamos|abríeis|abriam|abri|abriste|abriu|abrimos|abristes|abriram|abrirei|abrirás|abrirá|abriremos|abrireis|abrirão|abrindo|aberto|abre|abramos|abri|abram) passagem,204
Acabar bem,(acabo|acabas|acaba|acabamos|acabam|acabarei|acabarás|acabará|acabaremos|acabarão|acabaria|acabarias|acabaria|acabaríamos|acabariam|acabava|acabavas|acabava|acabávamos|acabavam|acabei|acabaste|acabou|acabamos|acabaram|acabe|acabes|acabe|acabemos|acabeis|acabem|acabando|acabado|acabada|acabados|acabadas|acabamento|acabamentos|acabador|acabadores|acabadora|acabadoras|acabado|acabada|acabados|acabadas) bem,441
Abrir um parênteses,(abrir|abro|abres|abre|abrimos|abris|abrem|abri|abriste|abriu|abrimos|abristes|abriram|abriria|abririas|abriria|abriríamos|abriríeis|abririam|abria|abrias|abria|abríamos|abríeis|abriam|abri|abriste|abriu|abrimos|abristes|abriram|abrirei|abrirás|abrirá|abriremos|abrireis|abrirão|abrindo|aberto|abre|abramos|abri|abram) um parênteses,6
Abusar da boa vontade de ___,(abuso|abusas|abusa|abusamos|abusam|abusarei|abusarás|abusará|abusaremos|abusarão|abusaria|abusarias|abusaria|abusaríamos|abusariam|abusava|abusavas|abusava|abusávamos|abusavam|abusei|abusaste|abusou|abusamos|abusaram|abuse|abuses|abuse|abusemos|abuseis|abusem|abusando|abusado|abusada|abusados|abusadas|abusador|abusadores|abusadora|abusadoras|abusado|abusada|abusados|abusadas) da boa vontade de,1
Acabar com a festa,(acabo|acabas|acaba|acabamos|acabam|acabarei|acabarás|acabará|acabaremos|acabarão|acabaria|acabarias|acabaria|acabaríamos|acabariam|acabava|acabavas|acabava|acabávamos|acabavam|acabei|acabaste|acabou|acabamos|acabaram|acabe|acabes|acabe|acabemos|acabeis|acabem|acabando|acabado|acabada|acabados|acabadas|acabamento|acabamentos|acabador|acabadores|acabadora|acabadoras|acabado|acabada|acabados|acabadas) com a festa,54
Acabar com a raça,(acabo|acabas|acaba|acabamos|acabam|acabarei|acabarás|acabará|acabaremos|acabarão|acabaria|acabarias|acabaria|acabaríamos|acabariam|acabava|acabavas|acabava|acabávamos|acabavam|acabei|acabaste|acabou|acabamos|acabaram|acabe|acabes|acabe|acabemos|acabeis|acabem|acabando|acabado|acabada|acabados|acabadas|acabamento|acabamentos|acabador|acabadores|acabadora|acabadoras|acabado|acabada|acabados|acabadas) com a raça,15
Acabar com a moral (de ___ ),(acabo|acabas|acaba|acabamos|acabam|acabarei|acabarás|acabará|acabaremos|acabarão|acabaria|acabarias|acabaria|acabaríamos|acabariam|acabava|acabavas|acabava|acabávamos|acabavam|acabei|acabaste|acabou|acabamos|acabaram|acabe|acabes|acabe|acabemos|acabeis|acabem|acabando|acabado|acabada|acabados|acabadas|acabamento|acabamentos|acabador|acabadores|acabadora|acabadoras|acabado|acabada|acabados|acabadas) com a moral (de)?,1
Acabar com a vida,(acabo|acabas|acaba|acabamos|acabam|acabarei|acabarás|acabará|acabaremos|acabarão|acabaria|acabarias|acabaria|acabaríamos|acabariam|acabava|acabavas|acabava|acabávamos|acabavam|acabei|acabaste|acabou|acabamos|acabaram|acabe|acabes|acabe|acabemos|acabeis|acabem|acabando|acabado|acabada|acabados|acabadas|acabamento|acabamentos|acabador|acabadores|acabadora|acabadoras|acabado|acabada|acabados|acabadas) com a vida,126
Acabar em pizza,(acabo|acabas|acaba|acabamos|acabam|acabarei|acabarás|acabará|acabaremos|acabarão|acabaria|acabarias|acabaria|acabaríamos|acabariam|acabava|acabavas|acabava|acabávamos|acabavam|acabei|acabaste|acabou|acabamos|acabaram|acabe|acabes|acabe|acabemos|acabeis|acabem|acabando|acabado|acabada|acabados|acabadas|acabamento|acabamentos|acabador|acabadores|acabadora|acabadoras|acabado|acabada|acabados|acabadas) em pizza,24
Acalmar os ânimos,(acalmo|acalmas|acalma|acalmamos|acalmam|acalmarei|acalmarás|acalmará|acalmaremos|acalmarão|acalmava|acalmavas|acalmava|acalmávamos|acalmavam|acalmei|acalmaste|acalmou|acalmamos|acalmaram|acalme|acalmes|acalme|acalmemos|acalmeis|acalmem|acalmando|acalmado|acalmada|acalmados|acalmadas|acalmador|acalmadores|acalmadora|acalmadoras|acalmado|acalmada|acalmados|acalmadas|acalmação|acalmações|acalmante|acalmantes|acalmado|acalmada|acalmados|acalmadas) os ânimos,33
Aceitar as regras,(aceito|aceitas|aceita|aceitamos|aceitam|aceitarei|aceitarás|aceitará|aceitaremos|aceitarão|aceitaria|aceitarias|aceitaria|aceitaríamos|aceitariam|aceitava|aceitavas|aceitava|aceitávamos|aceitavam|aceitei|aceitaste|aceitou|aceitamos|aceitaram|aceite|aceites|aceite|aceitemos|aceiteis|aceitem|aceitando|aceitado|aceitada|aceitados|aceitadas|aceitador|aceitadores|aceitadora|aceitadoras|aceitado|aceitada|aceitados|aceitadas) as regras,44
Aceitar o jogo,(aceito|aceitas|aceita|aceitamos|aceitam|aceitarei|aceitarás|aceitará|aceitaremos|aceitarão|aceitaria|aceitarias|aceitaria|aceitaríamos|aceitariam|aceitava|aceitavas|aceitava|aceitávamos|aceitavam|aceitei|aceitaste|aceitou|aceitamos|aceitaram|aceite|aceites|aceite|aceitemos|aceiteis|aceitem|aceitando|aceitado|aceitada|aceitados|aceitadas|aceitador|aceitadores|aceitadora|aceitadoras|aceitado|aceitada|aceitados|aceitadas) o jogo,5
Acertar a mão,(acerto|acerta|acertas|acertamos|acertais|acertam|acertava|acertavas|acertávamos|acertáveis|acertavam|acertei|acertaste|acertou|acertamos|acertastes|acertaram|acertara|acertaras|acertáramos|acertáreis|acertaram|acertarei|acertarás|acertará|acertaremos|acertareis|acertarão|acertaria|acertarias|acertaria|acertaríamos|acertaríeis|acertariam) a mão,26
Acender uma vela pra Deus e outra pro diabo,(acendo|acendes|acende|acendemos|acendem|acenderei|acenderás|acenderá|acenderemos|acenderão|acenderia|acenderias|acenderia|acenderíamos|acenderiam|acendia|acendias|acendia|acendíamos|acendiam|acendi|acendeste|acendeu|acendemos|acenderam|acenda|acendas|acenda|acendamos|acendais|acendam|acendendo|aceso|acessa|acesos|acessas|acessas|acendedor|acendedores|acendedora|acendedoras|acesa|acesas|acesa) uma vela pra deus e outra pro diabo,0
Acertar as contas,(acerto|acerta|acertas|acertamos|acertais|acertam|acertava|acertavas|acertávamos|acertáveis|acertavam|acertei|acertaste|acertou|acertamos|acertastes|acertaram|acertara|acertaras|acertáramos|acertáreis|acertaram|acertarei|acertarás|acertará|acertaremos|acertareis|acertarão|acertaria|acertarias|acertaria|acertaríamos|acertaríeis|acertariam) as contas,62
Acertar em cheio,(acerto|acerta|acertas|acertamos|acertais|acertam|acertava|acertavas|acertávamos|acertáveis|acertavam|acertei|acertaste|acertou|acertamos|acertastes|acertaram|acertara|acertaras|acertáramos|acertáreis|acertaram|acertarei|acertarás|acertará|acertaremos|acertareis|acertarão|acertaria|acertarias|acertaria|acertaríamos|acertaríeis|acertariam) em cheio,265
Acertar na mosca,(acerto|acerta|acertas|acertamos|acertais|acertam|acertava|acertavas|acertávamos|acertáveis|acertavam|acertei|acertaste|acertou|acertamos|acertastes|acertaram|acertara|acertaras|acertáramos|acertáreis|acertaram|acertarei|acertarás|acertará|acertaremos|acertareis|acertarão|acertaria|acertarias|acertaria|acertaríamos|acertaríeis|acertariam) na mosca,68
Acertar no alvo,(acerto|acerta|acertas|acertamos|acertais|acertam|acertava|acertavas|acertávamos|acertáveis|acertavam|acertei|acertaste|acertou|acertamos|acertastes|acertaram|acertara|acertaras|acertáramos|acertáreis|acertaram|acertarei|acertarás|acertará|acertaremos|acertareis|acertarão|acertaria|acertarias|acertaria|acertaríamos|acertaríeis|acertariam) no alvo,24
Acertar o passo,(acerto|acerta|acertas|acertamos|acertais|acertam|acertava|acertavas|acertávamos|acertáveis|acertavam|acertei|acertaste|acertou|acertamos|acertastes|acertaram|acertara|acertaras|acertáramos|acertáreis|acertaram|acertarei|acertarás|acertará|acertaremos|acertareis|acertarão|acertaria|acertarias|acertaria|acertaríamos|acertaríeis|acertariam) o passo,9
Acertar os ponteiros,(acerto|acerta|acertas|acertamos|acertais|acertam|acertava|acertavas|acertávamos|acertáveis|acertavam|acertei|acertaste|acertou|acertamos|acertastes|acertaram|acertara|acertaras|acertáramos|acertáreis|acertaram|acertarei|acertarás|acertará|acertaremos|acertareis|acertarão|acertaria|acertarias|acertaria|acertaríamos|acertaríeis|acertariam) os ponteiros,4
Agradar gregos e troianos,(agradar|agrado|agradado|agradava|agradaram|agradando|agradeço|agradeça|agradeçamos|agradeçais|agradeçam|agradaria|agradarias|agradaríamos|agradaríeis|agradariam|agrade|agrademos|agradei|agradeste|agradeu|agrademos|agradestes|agraderam|agraderei|agradarás|agradará|agradaremos|agradareis|agradarão|agradaria|agradarias|agradaríamos|agradaríeis|agradariam|agradeça|agradeçamos|agradeçais|agradecendo|agradecido|agradecida|agradecidos|agradecidas|agradáveis|agradável) gregos e troianos,6
Achar o fio da meada,(achar|acho|achado|achava|acharam|achando|achasse|achasses|achássemos|achásseis|achassem|acharia|acharias|acharíamos|acharíeis|achariam|achasse|achássemos|achásseis|achassem|acharei|acharás|achará|acharemos|achareis|acharão|acharia|acharias|acharíamos|acharíeis|achariam) o fio da meada,0
Achar-se o bom,(achar|acho|achado|achava|acharam|achando|achasse|achasses|achássemos|achásseis|achassem|acharia|acharias|acharíamos|acharíeis|achariam|achasse|achássemos|achásseis|achassem|acharei|acharás|achará|acharemos|achareis|acharão|acharia|acharias|acharíamos|acharíeis|achariam)-se o bom,0
Achar-se o centro do universo,(achar|acho|achado|achava|acharam|achando|achasse|achasses|achássemos|achásseis|achassem|acharia|acharias|acharíamos|acharíeis|achariam|achasse|achássemos|achásseis|achassem|acharei|acharás|achará|acharemos|achareis|acharão|acharia|acharias|acharíamos|acharíeis|achariam)-se o centro do universo,0
Achar-se um lixo,(achar|acho|achado|achava|acharam|achando|achasse|achasses|achássemos|achásseis|achassem|acharia|acharias|acharíamos|acharíeis|achariam|achasse|achássemos|achásseis|achassem|acharei|acharás|achará|acharemos|achareis|acharão|acharia|acharias|acharíamos|acharíeis|achariam)-se um lixo,0
Aguentar a mão,(aguentar|aguente|aguentas|aguente|aguentamos|aguentais|agem|aguentava|aguentavas|aguentava|aguentávamos|aguentáveis|aguentavam|aguentei|aguentaste|aguentou|aguentamos|aguentastes|aguentaram|aguentarei|aguentarás|aguentará|aguentaremos|aguentareis|aguentarão|aguentaria|aguentarias|aguentaríamos|aguentaríeis|aguentariam|aguenta|aguentai|aguentem|aguentemos|aguentando|aguentado|aguentada|aguentados|aguentadas|aguentável|aguentáveis|aguenta) a mão,2
Aguentar a barra,(aguentar|aguente|aguentas|aguente|aguentamos|aguentais|agem|aguentava|aguentavas|aguentava|aguentávamos|aguentáveis|aguentavam|aguentei|aguentaste|aguentou|aguentamos|aguentastes|aguentaram|aguentarei|aguentarás|aguentará|aguentaremos|aguentareis|aguentarão|aguentaria|aguentarias|aguentaríamos|aguentaríeis|aguentariam|aguenta|aguentai|aguentem|aguentemos|aguentando|aguentado|aguentada|aguentados|aguentadas|aguentável|aguentáveis|aguenta) a barra,10
Aguentar o rojão,(aguentar|aguente|aguentas|aguente|aguentamos|aguentais|agem|aguentava|aguentavas|aguentava|aguentávamos|aguentáveis|aguentavam|aguentei|aguentaste|aguentou|aguentamos|aguentastes|aguentaram|aguentarei|aguentarás|aguentará|aguentaremos|aguentareis|aguentarão|aguentaria|aguentarias|aguentaríamos|aguentaríeis|aguentariam|aguenta|aguentai|aguentem|aguentemos|aguentando|aguentado|aguentada|aguentados|aguentadas|aguentável|aguentáveis|aguenta) o rojão,1
Aguentar as pontas,(aguentar|aguente|aguentas|aguente|aguentamos|aguentais|agem|aguentava|aguentavas|aguentava|aguentávamos|aguentáveis|aguentavam|aguentei|aguentaste|aguentou|aguentamos|aguentastes|aguentaram|aguentarei|aguentarás|aguentará|aguentaremos|aguentareis|aguentarão|aguentaria|aguentarias|aguentaríamos|aguentaríeis|aguentariam|aguenta|aguentai|aguentem|aguentemos|aguentando|aguentado|aguentada|aguentados|aguentadas|aguentável|aguentáveis|aguenta) as pontas,9
Aguentar o repuxo,(aguentar|aguente|aguentas|aguente|aguentamos|aguentais|agem|aguentava|aguentavas|aguentava|aguentávamos|aguentáveis|aguentavam|aguentei|aguentaste|aguentou|aguentamos|aguentastes|aguentaram|aguentarei|aguentarás|aguentará|aguentaremos|aguentareis|aguentarão|aguentaria|aguentarias|aguentaríamos|aguentaríeis|aguentariam|aguenta|aguentai|aguentem|aguentemos|aguentando|aguentado|aguentada|aguentados|aguentadas|aguentável|aguentáveis|aguenta) o repuxo,1
Aguentar o tranco,(aguentar|aguente|aguentas|aguente|aguentamos|aguentais|agem|aguentava|aguentavas|aguentava|aguentávamos|aguentáveis|aguentavam|aguentei|aguentaste|aguentou|aguentamos|aguentastes|aguentaram|aguentarei|aguentarás|aguentará|aguentaremos|aguentareis|aguentarão|aguentaria|aguentarias|aguentaríamos|aguentaríeis|aguentariam|aguenta|aguentai|aguentem|aguentemos|aguentando|aguentado|aguentada|aguentados|aguentadas|aguentável|aguentáveis|aguenta) o tranco,46
Andar à toa,(andar|ando|andas|anda|andamos|andais|andam|andava|andavas|andava|andávamos|andáveis|andavam|andei|andaste|andou|andamos|andastes|andaram|andarei|andarás|andará|andaremos|andareis|andarão|andaria|andarias|andaríamos|andaríeis|andariam|anda|andai|andem|andemos|andando|andado|andada|andados|andadas|andante|andantes|andáveis|anda) à toa,87
Amarrar a cara,(amarrar|amarrando|amarrado|amarrada|amarrados|amarradas|amarro|amarra|amarras|amarra|amarramos|amarrais|amarram|amarrava|amarravas|amarrava|amarrávamos|amarráveis|amarravam|amarrei|amarraste|amarraram|amarraremos|amarrareis|amarrarão|amarraria|amarrarias|amarraríamos|amarraríeis|amarrariam|amarre|amarres|amarre|amarrarmos|amarrardes|amarrarem|amarrando|amarrante|amarrantes|amarráveis|amarrado|amarrada|amarrados|amarradas) a cara,3
Amarrar cachorro com linguiça,(amarrar|amarrando|amarrado|amarrada|amarrados|amarradas|amarro|amarra|amarras|amarra|amarramos|amarrais|amarram|amarrava|amarravas|amarrava|amarrávamos|amarráveis|amarravam|amarrei|amarraste|amarraram|amarraremos|amarrareis|amarrarão|amarraria|amarrarias|amarraríamos|amarraríeis|amarrariam|amarre|amarres|amarre|amarrarmos|amarrardes|amarrarem|amarrando|amarrante|amarrantes|amarráveis|amarrado|amarrada|amarrados|amarradas) cachorro com linguiça,6
Andar com as próprias pernas,(andar|ando|andas|anda|andamos|andais|andam|andava|andavas|andava|andávamos|andáveis|andavam|andei|andaste|andou|andamos|andastes|andaram|andarei|andarás|andará|andaremos|andareis|andarão|andaria|andarias|andaríamos|andaríeis|andariam|anda|andai|andem|andemos|andando|andado|andada|andados|andadas|andante|andantes|andáveis|anda) com as próprias pernas,25
Apanhar com a boca na botija,(apanhar|apanho|apanha|apanhamos|apanhais|apanham|apanhava|apanhavas|apanhava|apanhávamos|apanháveis|apanhavam|apanhei|apanhaste|apanhou|apanhamos|apanhastes|apanharam|apanharei|apanharás|apanhará|apanharemos|apanhareis|apanharão|apanharia|apanharias|apanharia|apanharíamos|apanharíeis|apanhariam|apanhasse|apanhasses|apanhasse|apanhássemos|apanhásseis|apanhassem|apanharia|apanharias|apanharia|apanharíamos|apanharíeis|apanhariam|apanharei|apanharás|apanhará|apanharemos|apanhareis|apanharão|apanha|apanhe|apanhemos|apanhai|apanhem|apanhemos|apanhai|apanhem|apanhando|apanhado) com a boca na botija,5
Aparar as arestas,(aparo|aparas|apara|aparamos|aparam|apararemos|apararei|apararás|aparará|apararemos|apararão|apararia|apararias|apararia|apararíamos|aparariam|aparava|aparavas|aparava|aparávamos|aparavam|aparei|aparaste|aparou|aparamos|apararam|apare|apares|apare|aparemos|apareis|aparem|aparando|aparado|aparada|aparados|aparadas|aparador|aparadores|aparadora|aparadoras|aparado|aparada|aparados|aparadas) as arestas,6
Apertar o cerco,(aperto|apertas|aperta|apertamos|apertam|apertarei|apertarás|apertará|apertaremos|apertarão|apertaria|apertarias|apertaria|apertaríamos|apertariam|apertava|apertavas|apertava|apertávamos|apertavam|apertei|apertaste|apertou|apertamos|apertaram|aperte|apertes|aperte|apertemos|aperteis|apertem|apertando|apertado|apertada|apertados|apertadas|apertador|apertadores|apertadora|apertadoras|apertado|apertada|apertados|apertadas) o cerco,51
Apertar o cinto,(aperto|apertas|aperta|apertamos|apertam|apertarei|apertarás|apertará|apertaremos|apertarão|apertaria|apertarias|apertaria|apertaríamos|apertariam|apertava|apertavas|apertava|apertávamos|apertavam|apertei|apertaste|apertou|apertamos|apertaram|aperte|apertes|aperte|apertemos|aperteis|apertem|apertando|apertado|apertada|apertados|apertadas|apertador|apertadores|apertadora|apertadoras|apertado|apertada|apertados|apertadas) o cinto,89
Apertar o coração,(aperto|apertas|aperta|apertamos|apertam|apertarei|apertarás|apertará|apertaremos|apertarão|apertaria|apertarias|apertaria|apertaríamos|apertariam|apertava|apertavas|apertava|apertávamos|apertavam|apertei|apertaste|apertou|apertamos|apertaram|aperte|apertes|aperte|apertemos|aperteis|apertem|apertando|apertado|apertada|apertados|apertadas|apertador|apertadores|apertadora|apertadoras|apertado|apertada|apertados|apertadas) o coração,8
